Season,Tourament_type,Tourament_Name,Region,Game_No,Game_Duration,First_Gane,Last_Game
S07,LCK,LCK Regional Qualifiers 2017,KR,13,13:03:00,Monday 28 August 2017,Saturday 2 September 2017
S07,EU LCS,EU LCS Regional Qualifiers 2017,EUW,11,09:57:00,Friday 8 September 2017,Sunday 10 September 2017
S07,LCK,LCK Spring Playoffs 2017,KR,11,09:12:00,Friday 7 April 2017,Saturday 22 April 2017
S07,LMS,LMS Spring Playoffs 2017,TW,11,13:45:00,Friday 21 April 2017,Sunday 23 April 2017
S07,LMS,LMS Summer Playoffs 2017,TW,12,10:03:00,Friday 18 August 2017,Friday 25 August 2017
S07,World Championship,World Championship 2017,WR,80,11:53:00,Thursday 5 October 2017,Saturday 4 November 2017
S07,World Championship,World Championship Play-In 2017,WR,39,09:24:00,Saturday 23 September 2017,Friday 29 September 2017
S06,Mid-Season,Mid-Season Invitational 2016,WR,41,11:48:00,Wednesday 4 May 2016,Sunday 15 May 2016
S06,NA,NA LCS 2017 Spring Promo,NA,14,12:13:00,Thursday 4 August 2016,Sunday 7 August 2016
S06,NA,NA LCS Spring 2016,NA,90,10:57:00,Saturday 16 January 2016,Sunday 20 March 2016
S06,NA,NA LCS Spring Playoffs 2016,NA,23,10:13:00,Saturday 2 April 2016,Sunday 17 April 2016
S06,NA,NA LCS Summer 2016,NA,218,11:23:00,Friday 3 June 2016,Sunday 31 July 2016
S06,NA,NA LCS Summer Playoffs 2016,NA,25,14:24:00,Saturday 13 August 2016,Sunday 28 August 2016
S06,NA,NA LCS Summer Promo 2016,NA,13,10:30:00,Wednesday 6 April 2016,Friday 8 April 2016
S06,NA,NA Regional Qualifiers 2016,NA,10,10:07:00,Saturday 3 September 2016,Monday 5 September 2016
S06,LCK,LCK Summer 2016,KR,212,14:24:00,Wednesday 25 May 2016,Saturday 6 August 2016
S06,IWC,IWC Qualifier 2016,WR,38,13:18:00,Wednesday 24 August 2016,Sunday 4 September 2016
S06,IWC,IWC Playoffs 2016,WR,10,06:37:00,Wednesday 20 April 2016,Saturday 23 April 2016
S06,LMS,LMS Summer Playoffs 2016,TW,11,18:16:00,Wednesday 17 August 2016,Sunday 21 August 2016
S06,LCK,LCK Spring 2016,KR,215,13:41:00,Wednesday 13 January 2016,Saturday 9 April 2016
S06,LCK,LCK Spring Playoffs 2016,KR,13,15:56:00,Wednesday 13 April 2016,Saturday 23 April 2016
S06,LPL,LPL Spring Playoffs 2016,CN,24,10:16:00,Wednesday 13 April 2016,Saturday 23 April 2016
S06,LPL,LPL Summer Playoffs 2016,CN,32,12:29:00,Wednesday 10 August 2016,Friday 26 August 2016
S06,EU LCS,EU LCS 2017 Spring Promo,EUW,18,13:09:00,Thursday 4 August 2016,Sunday 7 August 2016
S06,LCK,LCK Summer Promo 2016,KR,7,02:53:00,Thursday 28 April 2016,Friday 29 April 2016
S06,LPL,LPL Summer 2016,CN,232,13:01:00,Thursday 26 May 2016,Sunday 7 August 2016
S06,EU LCS,EU LCS Summer Promo 2016,EUW,18,09:24:00,Thursday 24 March 2016,Sunday 27 March 2016
S06,EU LCS,EU LCS Summer 2016,EUW,182,12:33:00,Thursday 2 June 2016,Sunday 31 July 2016
S06,EU LCS,EU LCS Spring 2016,EUW,90,11:29:00,Thursday 14 January 2016,Friday 18 March 2016
S06,LPL,LPL Spring 2016,CN,226,12:01:00,Thursday 14 January 2016,Sunday 10 April 2016
S06,EU Regional,EU Regional Qualifiers 2016,EUW,11,11:44:00,Saturday 3 September 2016,Monday 5 September 2016
S06,LPL,LPL Regional Qualifiers 2016,CN,15,12:22:00,Saturday 27 August 2016,Sunday 28 August 2016
S06,EU LCS,EU LCS Spring Playoffs 2016,EUW,25,11:36:00,Saturday 2 April 2016,Sunday 17 April 2016
S06,IEM,IEM Oakland 2016,WR,14,09:19:00,Saturday 19 November 2016,Monday 21 November 2016
S06,EU LCS,EU LCS Summer Playoffs 2016,EUW,24,11:49:00,Saturday 13 August 2016,Sunday 28 August 2016
S06,World Championship,World Championship 2016,WR,77,14:32:00,Thursday 29 September 2016,Sunday 30 October 2016
S06,LCK,LCK Summer Playoffs 2016,KR,15,13:27:00,Monday 8 August 2016,Saturday 20 August 2016
S06,LCK,LCK Regional Qualifiers 2016,KR,14,12:23:00,Monday 29 August 2016,Saturday 3 September 2016
S06,LCK,LCK Spring Promo 2017,KR,14,00:31:00,Monday 22 August 2016,Saturday 27 August 2016
S06,IEM,IEM Katowice 2016,WR,25,10:27:00,Friday 4 March 2016,Sunday 6 March 2016
S06,LMS,LMS Regional Qualifiers 2016,TW,11,15:24:00,Friday 2 September 2016,Sunday 4 September 2016
S06,IEM,IEM Cologne 2015,WR,17,09:33:00,Friday 18 December 2015,Sunday 20 December 2015
