Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
LDLC OL,S10,FR,86,64.00%,1.08,1848,127,06:46:00,16.9,15.6,7.2,4.8,52.3,64,2.48,54,1.19,60.5,1.09,0.4,681,0.85,62,30.8,2208,2.9,1.1,1.26
Legacy eSports,S10,OCE,66,75.80%,1.65,1836,201,07:58:00,15.2,9.2,7.8,4,56.1,56.1,2.62,56.9,1.05,53.8,0.97,0.5,1246,0.94,74.6,31.8,2020,3.3,1.21,1.35
LGD Gaming,S10,CN,120,50.00%,1.01,1768,6,09:17:00,13.2,13.1,6.2,6,31.7,30.8,2.46,50,0.48,39.7,0.88,-0.1,53,0.61,50.5,31.9,1903,3.3,1.23,1.67
LinGan e-Sports,S10,CN,4,25.00%,0.49,1595,-355,05:55:00,8.8,18,2.8,7.8,-,-,1.25,17.9,-,-,-,-,-,0.25,11.1,30.8,1577,3.3,1.35,1.36
Liyab Esports,S10,PCS,37,27.00%,0.62,1626,-191,07:19:00,10.4,16.9,3.6,7.3,48.6,37.8,2.22,46.2,0.57,32.4,1.03,-0.4,-1039,0.32,26.6,30,1728,3.1,1.21,1.26
LNG Esports,S10,CN,81,37.00%,0.81,1699,-91,07:47:00,10.8,13.4,4.9,6.9,17.3,16,2.3,48.3,0.41,48.6,0.78,-0.2,-687,0.51,39.2,31.3,1822,3.2,1.11,1.56
LowLandLions,S10,EUW,6,0.00%,0.33,1569,-525,03:32:00,8.8,27.2,1.2,9.3,50,16.7,1.33,37.2,0.5,33.3,1,-2.2,-4718,0.17,25,28.4,2149,3.2,1.31,1.14
M19,S10,CIS,15,20.00%,0.7,1653,-221,07:02:00,12.6,17.9,2.6,8.2,46.7,26.7,2.27,50.1,0.73,40,0.87,-1.3,-2222,0.2,17.9,30.3,1783,3.2,1.32,1.27
Machi E-Sports,S10,PCS,83,66.30%,1.21,1779,107,08:29:00,13.6,11.2,7.1,4.5,53,62.7,2.82,60.3,1,50.6,1.16,0.4,461,0.7,61.5,31.4,1960,3.6,1.35,1.56
MAD Lions,S10,EUW,69,50.70%,0.97,1764,-10,08:27:00,13.8,14.3,6.5,6.2,47.8,50.7,2.51,52.7,0.97,51.5,0.96,-0.1,-327,0.64,51.6,31.1,1942,3.4,1.4,1.33
